species,Alcohol,Animal_fats,Dairy,Egg,Fish_seafood,Fruit_juices,Fruits,Legumes,Margarine,Meat,Misc_animal_foods,Nuts,Potatoes,Refined_grains,Sugar_sweetened_beverages,Sweets_desserts,Tea_coffee,Vegetable_oils,Vegetables,Whole_grain
Actinomyces_odontolyticus,-0.0745879587096405,-0.0628137854658755,0.00661185114681255,-0.00362273676513822,0.0311854006226344,-0.0688652089185134,-0.0198961457242812,-0.0117751016267176,0.0132885065684277,-0.0376665988449133,-0.0214876815524793,-0.0690330034608772,-0.00446792435586569,-0.0355319294414382,0.0369554850527219,-0.0331597679506542,-0.0131866961837031,-0.0313504040874382,-0.0213249441339865,-0.0320571866796705
Actinomyces_sp_ICM47,0.000324387600265842,-0.0361884057639902,-0.0396878325140559,0.0317177477341853,-0.00244044487930294,-0.0325432616700227,-0.0426590048646365,0.0142151520322373,-0.0574566298910263,-0.000240702018803853,-0.00661794313779413,-0.0272992426472921,0.00639098057388895,-0.0225202476525746,0.0284244236513171,-0.0393728348708477,0.0368674358444136,-0.0248973239803079,-0.00654586758778638,-0.0238074022685667
Adlercreutzia_equolifaciens,0.0720095836622396,-0.0484402539608126,-0.00975790798762077,-0.00613496300864456,-0.0130574668754024,-0.00890454259854174,-0.0145016233018444,-0.0957052411491135,0.00623931806872175,0.0759165722777884,-0.0494888227685234,0.0103888008662735,0.0184734504406741,-0.00590781164917985,1.50803880473196e-05,0.00870543949357722,0.0875958260872118,0.0136910269102912,0.0141162377604864,0.0138168537252803
Agathobaculum_butyriciproducens,0.0664022404493173,-0.034260094291258,-0.0152144460621034,0.0743890175353533,0.0557570491194229,0.0602871727887746,0.057105806417513,0.0923147492002018,-0.045554650884652,-0.0793117015461453,-0.053967474484501,0.20679488303088,-0.065548008805105,-0.0460568672458515,-0.0970145535710696,-0.0766680781024043,0.137090954544761,0.0764420933970466,0.100272072306922,0.0511677955457033
Akkermansia_muciniphila,0.0345439350412276,0.0453588182586684,0.0341741284129749,0.0411947767593736,-0.00300201721501986,0.00299553531763564,-0.0352546175741411,0.00413492652959595,0.0139430763520744,0.0380433620383859,0.0804419819433406,-0.0391588952324799,-0.017605811963242,-0.0148098426532743,0.0505099377459412,0.0852583064567944,-0.00590977536187484,-0.0231639993568182,-0.0222492136933012,0.0345682238580808
Alistipes_finegoldii,0.0135543138164396,0.0173496436619104,0.0220194730268613,-0.0450348396704603,-0.0172561663420964,-0.0395503104077719,0.0483566833840892,-0.0554967281319024,0.0326681689217809,0.12306910948139,0.0599927927811337,-0.107711000147634,0.111135241459962,0.0279084778281147,0.0729112596636298,0.0667349067465691,-0.0578240980529979,-0.0444720735852618,-0.0163700102678921,0.0092277191311086
Alistipes_indistinctus,0.0734089219474366,0.00739979034819995,0.0155044708080563,0.0147265724509533,0.00189403461101722,-0.0434807436743284,0.00978693305345653,-0.00580879927155836,-0.00134599149643329,0.0674416231870639,0.0460028721301746,-0.0379105089912032,0.00898329748888067,0.0187334988052322,0.0525238929693544,0.00727717722141605,-0.00799906082943812,0.0405436896760245,0.0778261581860595,-0.0394123170771065
Alistipes_inops,0.0519926217431276,-0.0208165398398273,-0.00880569655830422,0.00793132790480164,0.0228855394142326,-0.0144795347120984,0.0148899008492846,-0.0438556715690911,0.039287175636728,0.0439796490886143,-0.00674185624371254,0.00659026770460414,0.00461434864462538,0.0129809627761998,0.0383752348463712,0.0140884167497015,0.0484136440376489,0.0273214458614089,-0.0249866939132973,-0.0566000903894768
Alistipes_onderdonkii,-0.0202045593201074,-0.0154967583980297,-0.00562232996179789,0.0612601259200485,0.070864812027956,0.0191172238781796,0.0117247762299664,-0.0512367447915799,-0.0001691394425978,0.00102907963230171,-0.0658413851540559,0.0557637184213087,-0.00322377780417189,-0.0130314457643841,0.0217176351538559,-0.0306013315407,0.101495224612125,-0.0221519356610429,0.0174092408475153,-0.0166841108686604
Alistipes_putredinis,-0.0165877638710527,0.0246424095192219,0.0320866032760794,-0.00347964788136658,0.00767441227331509,-0.0331657113658961,0.00271044807826626,-0.0268996204360629,0.00625690399313986,0.136494126946025,0.0508728749722506,-0.0966425977757176,0.071122259588726,0.0261127085038841,0.0941176761059928,0.0784661488751062,-0.0162891745736534,-0.035254508468291,-0.0349145153874392,0.0180863893888731
Alistipes_shahii,-0.00429512460216392,-0.0196474601849053,0.0354018237584934,-0.00247920632299499,-0.0113812810085633,-0.0475651642653032,0.0897079412418292,-0.0560458577271969,-0.000561207789365534,0.0793563759748631,0.0520701614943475,-0.0236210008228863,0.0198176075655345,-0.00609473701074292,0.0793949383473871,0.0385065146286464,-0.020530476825322,0.00605474517499131,-0.00158042363997044,0.0498817358928763
Anaeromassilibacillus_sp_An250,0.0139637560198098,0.0293919191005434,0.0861481849543136,-0.0155840526674089,0.0219464223985585,0.0112130830568189,-0.0782312697401167,-0.0882512521936455,0.0314290392327446,0.123496680702345,0.0791951976710928,-0.164474606163262,0.0778918240239561,0.0472972996388567,0.079313070434377,0.0933624399332703,0.0754689587910981,-0.000747952403511603,-0.0568876899740696,-0.0904578646693525
Anaerostipes_hadrus,0.0556613564890381,0.0274337284189814,-0.0614332837050563,0.0457889422616688,-0.0337097422218187,-0.00536989611178317,0.0501227171343008,0.0644887062853751,-0.0421900395011885,-0.0834000468685482,-0.107073193811647,0.119756486808549,-0.14156575590367,-0.107281927911031,-0.0308345463678738,-0.0650500780713223,0.0868445790869776,0.0709568710239701,0.115373125480877,0.00703861312213182
Anaerotruncus_colihominis,-0.0218848147949063,0.00880645821368209,-0.0901301951715898,-0.0382236867076223,-0.0503837935559957,0.0178552897314921,-0.106501436185302,-0.0593952476723443,0.0258669717371262,0.0978086989624346,0.0710964684502072,-0.141722229200949,0.107012224962228,0.00594658008925278,0.0712894025391812,0.0224847332822667,-0.00949916584435716,-0.0542884254728776,-0.0700330865744568,-0.0852762524003068
Asaccharobacter_celatus,0.0820850825028976,-0.0287885280771666,0.0165167357703,0.0216458332419911,-0.0125022728393248,-0.0122716273905329,-0.0184098640459116,-0.102090052219201,0.0117307020916039,0.0906784887974686,-0.0678777267942249,0.0155934926958508,0.0436385848782285,-0.0333399954280225,0.0205968017197245,0.00874061044077673,0.114770839438112,0.0146398865108801,0.0336365323048623,0.00583696809675727
